Index,위도값,경도값,RSE_ID,ExitingCount,EnteringCount,Address,Date
33,36.04974,128.40865,262003880,64412,65137,대한민국 경상북도 칠곡군 석적읍 포남리 597-8,2024-04-19
9,36.84408,127.17605,162005679,110058,110118,대한민국 충청남도 천안시 서북구 성거읍 요방리 219-7,2024-04-05
50,35.829574,129.119259,362003007,44634,44058,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-09
34,36.64024,127.37826,162005324,62028,61809,대한민국 충청북도 청주시 흥덕구 강내면 학천리 511-4,2024-04-17
45,35.90045,128.67529,262003501,55096,54575,대한민국 대구광역시 동구 둔산동 594-2,2024-04-09
21,35.91542,128.61307,262003565,91975,93974,대한민국 대구광역시 북구 검단동 1393-216,2024-04-14
77,36.27095,127.831,262004582,27178,27081,대한민국 충청북도 영동군 용산면 구촌리 13-1,2024-04-08
52,36.33218,127.53434,162004882,38990,37398,대한민국 충청북도 옥천군 군북면 이백리 산15-2,2024-04-13
3,37.12583,127.09694,162006016,120650,119863,대한민국 경기도 평택시 진위면 동천리 602-2,2024-04-05
69,36.29508,127.6018,262004808,25960,25899,대한민국 충청북도 옥천군 옥천읍 구일리 817-11,2024-04-06
76,36.27954,127.69244,262004721,26026,26058,대한민국 충청북도 옥천군 동이면 조령리 산26-3,2024-04-15
86,36.2971,127.59527,462004814,9450,9422,대한민국 충청북도 옥천군 옥천읍 매화리 251-4,2024-04-04
19,36.72039,127.33097,162005435,92733,92132,대한민국 충청북도 청주시 흥덕구 옥산면 사정리 산22-1,2024-04-21
61,35.829574,129.119259,362003007,29082,28956,대한민국 경상북도 경주시 건천읍 모량리 382-1,2024-04-12
4,37.2571,127.10411,162006167,127239,128106,대한민국 경기도 용인시 기흥구 보라동 380-8,2024-04-06
24,36.55249,127.43174,162005208,74326,87913,대한민국 충청북도 청주시 서원구 남이면 외천리 187-6,2024-04-22
65,36.15981,128.22747,262004121,32244,33160,대한민국 경상북도 김천시 아포읍 봉산리 1229-11,2024-04-21
45,37.23222,127.10694,162006144,44910,46844,대한민국 경기도 용인시 기흥구 공세동 656-16,2024-04-03
30,36.37486,127.43024,162005000,67229,66070,대한민국 대전광역시 대덕구 법동 산14-3,2024-04-02
16,37.12663,127.09778,162006045,90617,86739,대한민국 경기도 평택시 진위면 동천리 596-3,2024-04-20
85,36.27247,127.73767,262004680,10717,10745,대한민국 충청북도 영동군 용산면 부상리 408-1,2024-04-04
62,35.613003,129.145706,362002711,28849,28834,대한민국 울산광역시 울주군 두서면 구량리 282-1,2024-04-12
64,36.15672,128.19537,262004150,29108,29263,대한민국 경상북도 김천시 아포읍 대신리 885-45,2024-04-06
9,37.05325,127.13641,162005925,125294,122259,대한민국 경기도 안성시 원곡면 지문리 산133-4,2024-04-11
20,35.91571,128.65202,262003528,82521,81369,대한민국 대구광역시 동구 도동 231,2024-04-09
65,35.814039,129.169968,362002953,35007,35418,대한민국 경상북도 경주시 율동 947-5,2024-04-01
37,36.73389,127.28353,162005480,75941,75782,대한민국 충청남도 천안시 동남구 수신면 속창리 143-11,2024-04-07
49,35.3725,129.05333,262002432,49048,47211,대한민국 경상남도 양산시 산막동 354,2024-04-08
5,37.34333,127.10556,162006266,116773,115367,대한민국 경기도 성남시 분당구 구미동 173-2,2024-04-05
84,36.94295,127.19273,162005791,16234,16228,대한민국 충청남도 천안시 서북구 입장면 연곡길 407,2024-04-14
41,35.90045,128.67529,262003501,55424,56199,대한민국 대구광역시 동구 둔산동 594-2,2024-04-20
79,36.15056,128.03339,262004318,22960,23022,대한민국 경상북도 김천시 봉산면 태화리 155-4,2024-04-20
35,36.39055,127.42292,162005018,62158,63237,대한민국 대전광역시 대덕구 연축동 278,2024-04-10
81,36.21047,127.94939,262004437,22386,22431,대한민국 충청북도 영동군 추풍령면 계룡리 241-1,2024-04-06
21,35.91571,128.65202,262003528,77125,75937,대한민국 대구광역시 동구 도동 231,2024-04-16
58,35.25667,129.10056,462002266,32741,31873,대한민국 부산광역시 금정구 구서동 34,2024-04-06
30,36.58449,127.42647,162005243,69776,62472,대한민국 충청북도 청주시 서원구 남이면 석실리 365-12,2024-04-20
3,37.12583,127.09694,162006016,143868,144145,대한민국 경기도 평택시 진위면 동천리 602-2,2024-04-09
87,37.07361,127.13444,162005949,9995,10006,대한민국 경기도 안성시 원곡면 산하리 319-1,2024-04-17
23,36.72039,127.33097,162005435,76046,76206,대한민국 충청북도 청주시 흥덕구 옥산면 사정리 산22-1,2024-04-03
